INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,LOC_OF_OCCUR_DESC,PRECINCT,JURISDICTION_CODE,LOC_CLASSFCTN_DESC,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,Latitude,Longitude
312100260,08/29/2025,20:57:00,BRONX,OUTSIDE,52,0,STREET,18-24,M,BLACK HISPANIC,40.862367,-73.892544
312795109,09/12/2025,07:43:00,BRONX,OUTSIDE,48,0,STREET,25-44,M,BLACK,40.854481,-73.894674
303562943,03/24/2025,01:25:00,BROOKLYN,OUTSIDE,69,0,STREET,45-64,M,BLACK,40.6456289,-73.89762056
298949942,01/03/2025,17:30:00,BRONX,OUTSIDE,44,0,STREET,<18,M,WHITE HISPANIC,40.843722,-73.917502
313373627,09/23/2025,22:20:00,BRONX,INSIDE,41,0,DWELLING,25-44,F,BLACK,40.82182,-73.895872
301745796,02/26/2025,13:43:00,BRONX,OUTSIDE,47,0,STREET,18-24,M,BLACK,40.893009,-73.843223
308517352,06/23/2025,14:36:00,QUEENS,OUTSIDE,113,0,STREET,45-64,F,BLACK,40.683473,-73.769162
309560883,07/13/2025,14:33:00,MANHATTAN,OUTSIDE,26,2,HOUSING,<18,M,BLACK,40.816058,-73.95432
307067373,05/26/2025,23:59:00,BROOKLYN,OUTSIDE,67,0,STREET,25-44,M,BLACK,40.653215,-73.920431
305004828,04/19/2025,02:30:00,BROOKLYN,OUTSIDE,88,0,STREET,18-24,M,WHITE HISPANIC,40.695956,-73.965945
298877584,01/04/2025,00:43:00,BROOKLYN,OUTSIDE,75,0,COMMERCIAL,25-44,F,WHITE HISPANIC,40.679244,-73.886873
300131383,01/27/2025,16:30:00,QUEENS,INSIDE,107,0,DWELLING,18-24,M,BLACK,40.724446,-73.758293
310820653,08/06/2025,14:45:00,BRONX,OUTSIDE,42,0,HOUSING,25-44,M,WHITE HISPANIC,40.835094,-73.908048
310613388,08/02/2025,16:48:00,BROOKLYN,OUTSIDE,72,0,STREET,<18,M,BLACK HISPANIC,40.66203,-73.994561
309666554,07/15/2025,21:52:00,BRONX,OUTSIDE,48,0,STREET,<18,M,BLACK,40.85830398,-73.892778
311175692,08/13/2025,01:45:00,QUEENS,OUTSIDE,114,2,HOUSING,45-64,M,BLACK,40.754934,-73.91039
309415108,07/10/2025,20:54:00,MANHATTAN,OUTSIDE,25,0,STREET,25-44,F,WHITE HISPANIC,40.801288,-73.936073
300131385,01/27/2025,19:16:00,BRONX,OUTSIDE,47,0,STREET,<18,M,BLACK,40.88809295,-73.85354344
308373655,06/19/2025,23:30:00,BROOKLYN,OUTSIDE,79,0,STREET,25-44,M,BLACK,40.696493,-73.949429
311327863,08/17/2025,03:27:00,BROOKLYN,OUTSIDE,71,0,COMMERCIAL,25-44,M,BLACK,40.66759,-73.959087
306369562,05/13/2025,16:42:00,BRONX,OUTSIDE,42,0,STREET,<18,M,BLACK,40.82392587,-73.91145567
307632868,06/05/2025,13:18:00,BRONX,OUTSIDE,46,0,STREET,<18,M,BLACK,40.8473266,-73.90374022
307558032,06/04/2025,13:30:00,QUEENS,OUTSIDE,109,0,STREET,45-64,M,WHITE,40.781398,-73.797336
305163494,04/22/2025,22:27:00,MANHATTAN,OUTSIDE,28,0,STREET,45-64,F,BLACK,40.800413,-73.950866
310305117,07/27/2025,18:45:00,BRONX,OUTSIDE,44,0,STREET,18-24,M,WHITE HISPANIC,40.83872163,-73.91377061
305637546,04/30/2025,22:33:00,BROOKLYN,OUTSIDE,75,0,STREET,25-44,M,WHITE HISPANIC,40.673859,-73.873576
306651416,05/18/2025,18:45:00,BRONX,OUTSIDE,46,0,STREET,45-64,M,BLACK,40.860085,-73.89363
308834266,06/29/2025,22:13:00,MANHATTAN,OUTSIDE,6,0,STREET,<18,F,BLACK,40.73315,-74.002157
300430000,02/02/2025,01:24:00,BRONX,OUTSIDE,48,0,STREET,18-24,M,WHITE HISPANIC,40.846899,-73.899769
312200896,09/01/2025,18:47:00,BROOKLYN,OUTSIDE,71,0,STREET,18-24,M,BLACK,40.671016,-73.959656
